req_id,epic_id,epic,요구사항명,status,owner,DoD,linked_benefit_id,baseline,비고
REQ-019,EP-02,로봇 기종 제어 연동,기종 그룹 일괄 명령,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-020,EP-02,로봇 기종 제어 연동,명령 실패 재시도,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-021,EP-02,로봇 기종 제어 연동,펌웨어 버전별 커맨드 매핑,Blocked,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),Helion Nav Stack v3 맵·커맨드 스키마 의존 / v4 마이그레이션 미착수
REQ-022,EP-02,로봇 기종 제어 연동,구동계 상태 진단,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),BEN-02,84건 baseline(2026-01-19 G1 확정),
REQ-023,EP-02,로봇 기종 제어 연동,오프라인 로봇 처리,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-024,EP-02,로봇 기종 제어 연동,명령 확인 다이얼로그,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-025,EP-03,임무 스케줄링 / 경로 최적화,임무 큐 관리,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-026,EP-03,임무 스케줄링 / 경로 최적화,다중 로봇 경로 조정,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-027,EP-03,임무 스케줄링 / 경로 최적화,우선순위 임무 선점,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-028,EP-03,임무 스케줄링 / 경로 최적화,피크타임 배차 최적화,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-029,EP-03,임무 스케줄링 / 경로 최적화,임무 실패 자동 재배정,Done,노유진(PO),코드 머지 완료 (DoD v2),BEN-02,84건 baseline(2026-01-19 G1 확정),
REQ-030,EP-03,임무 스케줄링 / 경로 최적화,구역별 커버리지 계획,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-031,EP-03,임무 스케줄링 / 경로 최적화,배터리 기반 임무 배정,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-032,EP-03,임무 스케줄링 / 경로 최적화,임무 소요시간 예측,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-033,EP-03,임무 스케줄링 / 경로 최적화,사업장별 운영 시간표,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-034,EP-03,임무 스케줄링 / 경로 최적화,임무 이력 리포트,Done,노유진(PO),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-035,EP-03,임무 스케줄링 / 경로 최적화,탄소·전력 절감 리포트,Done,노유진(PO),코드 머지 완료 (DoD v2),BEN-03,84건 baseline(2026-01-19 G1 확정),
REQ-036,EP-03,임무 스케줄링 / 경로 최적화,운영 패턴 인사이트,Done,노유진(PO),코드 머지 완료 (DoD v2),BEN-03,84건 baseline(2026-01-19 G1 확정),
REQ-037,EP-04,플릿 관제 콘솔 UX,관제 대시보드 초기 온보딩,Done,배가온(관제UX),코드 머지 완료 (DoD v2),BEN-01,84건 baseline(2026-01-19 G1 확정),
REQ-038,EP-04,플릿 관제 콘솔 UX,로봇 실시간 지도 뷰,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-039,EP-04,플릿 관제 콘솔 UX,원격 조작(Teleop) 화면,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-040,EP-04,플릿 관제 콘솔 UX,임무 카드 UI,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-041,EP-04,플릿 관제 콘솔 UX,권한·역할 관리,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-042,EP-04,플릿 관제 콘솔 UX,다크모드,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-043,EP-04,플릿 관제 콘솔 UX,접근성(스크린리더),Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-044,EP-04,플릿 관제 콘솔 UX,알림 센터,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-045,EP-04,플릿 관제 콘솔 UX,이상 상태 화면,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-046,EP-04,플릿 관제 콘솔 UX,튜토리얼 재진입,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-047,EP-04,플릿 관제 콘솔 UX,운영 팁 알림,Done,배가온(관제UX),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-048,EP-04,플릿 관제 콘솔 UX,임무 이력 조회 화면,Done,배가온(관제UX),코드 머지 완료 (DoD v2),BEN-01,84건 baseline(2026-01-19 G1 확정),
REQ-049,EP-05,데이터 / 플릿 텔레메트리,이벤트 스키마 v2 적용,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-050,EP-05,데이터 / 플릿 텔레메트리,주행·임무 로그 수집,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-051,EP-05,데이터 / 플릿 텔레메트리,가동률 집계 파이프라인,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-052,EP-05,데이터 / 플릿 텔레메트리,파일럿 사업장 코호트 태깅,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-053,EP-05,데이터 / 플릿 텔레메트리,지표 대시보드,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-054,EP-05,데이터 / 플릿 텔레메트리,로그 보존정책 적용,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-055,EP-05,데이터 / 플릿 텔레메트리,A/B 실험 프레임,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-056,EP-05,데이터 / 플릿 텔레메트리,미학습 상황 클립 아카이브,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-057,EP-05,데이터 / 플릿 텔레메트리,데이터 품질 검증 잡,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-058,EP-05,데이터 / 플릿 텔레메트리,지표 정합성 리포트,Done,오시윤(Data),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-059,EP-05,데이터 / 플릿 텔레메트리,사업장 유지율 코호트 집계,In Dev,오시윤(Data),코드 머지 완료 (DoD v2),BEN-01,84건 baseline(2026-01-19 G1 확정),
REQ-060,EP-06,안전 / 보안 / 컴플라이언스,비상정지 회로 연동,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-061,EP-06,안전 / 보안 / 컴플라이언스,주행 영상 국외이전 처리,Blocked,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),"법무 검토 대기 (2026-07-24 요청, 회신 없음) — CR-010"
REQ-062,EP-06,안전 / 보안 / 컴플라이언스,영상 내 인물 마스킹,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-063,EP-06,안전 / 보안 / 컴플라이언스,감사 로그,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-064,EP-06,안전 / 보안 / 컴플라이언스,권한 최소화 적용,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-065,EP-06,안전 / 보안 / 컴플라이언스,AI 판단 고지 문구,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-066,EP-06,안전 / 보안 / 컴플라이언스,취약점 스캔 대응,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-067,EP-06,안전 / 보안 / 컴플라이언스,암호화 키 관리,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-068,EP-06,안전 / 보안 / 컴플라이언스,안전 인증 문서 산출(ISO 13482),Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-069,EP-06,안전 / 보안 / 컴플라이언스,동의 철회 처리,Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-070,EP-06,안전 / 보안 / 컴플라이언스,데이터 주체 권리 대응(DSAR),Done,윤채원(안전/보안),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-071,EP-07,인프라 / OTA / MLOps,모델 서빙 오토스케일,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-072,EP-07,인프라 / OTA / MLOps,주행 정책 버전 관리,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-073,EP-07,인프라 / OTA / MLOps,추론·시뮬레이션 비용 계측,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-074,EP-07,인프라 / OTA / MLOps,모델 A/B 라우팅,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-075,EP-07,인프라 / OTA / MLOps,장애 폴백 경로,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-076,EP-07,인프라 / OTA / MLOps,CI 파이프라인,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),BEN-05,84건 baseline(2026-01-19 G1 확정),
REQ-077,EP-07,인프라 / OTA / MLOps,회귀 시뮬레이션 자동화,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),BEN-05,84건 baseline(2026-01-19 G1 확정),
REQ-078,EP-07,인프라 / OTA / MLOps,비용 알림,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-079,EP-07,인프라 / OTA / MLOps,관측성(Trace),Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-080,EP-07,인프라 / OTA / MLOps,엣지 추론 캐시 레이어,In Dev,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),"S11에 '후순위'로 구두 합의, CR 미등록 — 결정로그 DEC-06"
REQ-081,EP-07,인프라 / OTA / MLOps,모델 티어 라우팅(온디바이스/클라우드),In Dev,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-082,EP-07,인프라 / OTA / MLOps,OTA 단계적 배포,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-083,EP-07,인프라 / OTA / MLOps,AI 인프라 예산 가드레일,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-084,EP-07,인프라 / OTA / MLOps,시뮬레이션 씬 캐시 정책,Done,정하람(플랫폼),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
