issue_key,epic_id,type,summary,status,story_points,sprint,assignee,region,created,resolved,req_id,benefit_id,done_definition_version,qa_verification,note
HRM-1026,EP-02,Task,서빙봇 트레이 제어 단위테스트/정리,Done,3,S11,R.Menon,IN,2026-05-16,2026-06-05,REQ-013,,v2,SKIPPED,
HRM-1027,EP-02,Story,배송봇 적재함 잠금 구현,Done,2,S02,오시윤,KR,2026-01-12,2026-01-27,REQ-014,,v1,PASS,
HRM-1028,EP-02,Task,배송봇 적재함 잠금 단위테스트/정리,Done,3,S01,M.Alvarez,US,2026-01-02,2026-01-16,REQ-014,,v1,PASS,
HRM-1029,EP-02,Story,청소봇 물탱크·브러시 제어 구현,Done,2,S03,윤채원,KR,2026-01-30,2026-02-13,REQ-015,,v1,PASS,
HRM-1030,EP-02,Task,청소봇 물탱크·브러시 제어 단위테스트/정리,Done,5,S17,R.Menon,IN,2026-08-08,2026-08-26,REQ-015,,v2,,
HRM-1031,EP-02,Story,안내봇 디스플레이·음성 구현,Done,5,S15,A.Rao,IN,2026-07-19,2026-07-29,REQ-016,,v2,,
HRM-1032,EP-02,Task,안내봇 디스플레이·음성 단위테스트/정리,Done,8,S10,오시윤,KR,2026-05-08,2026-05-21,REQ-016,,v2,SKIPPED,
HRM-1033,EP-02,Story,물류 카트봇 견인 제어 구현,Done,5,S08,윤채원,KR,2026-04-09,2026-04-23,REQ-017,,v2,SKIPPED,
HRM-1034,EP-02,Task,물류 카트봇 견인 제어 단위테스트/정리,Done,2,S16,배가온,KR,2026-07-29,2026-08-11,REQ-017,,v2,SKIPPED,
HRM-1035,EP-02,Story,방역봇 UV 모듈 제어 구현,Done,3,S03,K.Brooks,US,2026-01-26,2026-02-13,REQ-018,,v1,PASS,
HRM-1036,EP-02,Task,방역봇 UV 모듈 제어 단위테스트/정리,Done,3,S01,A.Rao,IN,2026-01-01,2026-01-16,REQ-018,,v1,PASS,
HRM-1037,EP-02,Story,기종 그룹 일괄 명령 구현,Done,3,S09,K.Brooks,US,2026-04-24,2026-05-07,REQ-019,,v2,PASS,
HRM-1038,EP-02,Task,기종 그룹 일괄 명령 단위테스트/정리,Done,5,S10,D.Suh,US,2026-05-03,2026-05-21,REQ-019,,v2,,
HRM-1039,EP-02,Story,명령 실패 재시도 구현,Done,5,S04,R.Menon,IN,2026-02-09,2026-02-27,REQ-020,,v1,PASS,
HRM-1040,EP-02,Task,명령 실패 재시도 단위테스트/정리,Done,5,S12,배가온,KR,2026-06-05,2026-06-18,REQ-020,,v2,,
HRM-1041,EP-02,Story,펌웨어 버전별 커맨드 매핑 구현,Blocked,8,S04,R.Menon,IN,2026-02-14,,REQ-021,,v1,,
HRM-1042,EP-02,Task,펌웨어 버전별 커맨드 매핑 단위테스트/정리,Blocked,2,S09,문세아,KR,2026-04-23,,REQ-021,,v2,,
HRM-1043,EP-02,Story,구동계 상태 진단 구현,Done,8,S10,K.Brooks,US,2026-05-09,2026-05-21,REQ-022,BEN-02,v2,,
HRM-1044,EP-02,Task,구동계 상태 진단 단위테스트/정리,Done,3,S15,정하람,KR,2026-07-16,2026-07-29,REQ-022,BEN-02,v2,PASS,
HRM-1045,EP-02,Story,오프라인 로봇 처리 구현,Done,3,S14,M.Alvarez,US,2026-07-01,2026-07-15,REQ-023,,v2,PASS,
HRM-1046,EP-02,Task,오프라인 로봇 처리 단위테스트/정리,Done,5,S01,D.Suh,US,2026-01-02,2026-01-14,REQ-023,,v1,PASS,
HRM-1047,EP-02,Story,명령 확인 다이얼로그 구현,Done,3,S06,정하람,KR,2026-03-12,2026-03-27,REQ-024,,v1,PASS,
HRM-1048,EP-02,Task,명령 확인 다이얼로그 단위테스트/정리,Done,3,S01,S.Iyer,IN,2025-12-30,2026-01-14,REQ-024,,v1,PASS,
HRM-1049,EP-03,Story,임무 큐 관리 구현,Done,3,S10,A.Rao,IN,2026-05-08,2026-05-22,REQ-025,,v2,PASS,
HRM-1050,EP-03,Task,임무 큐 관리 단위테스트/정리,Done,2,S06,윤채원,KR,2026-03-10,2026-03-27,REQ-025,,v1,PASS,
HRM-1051,EP-03,Story,다중 로봇 경로 조정 구현,Done,5,S17,배가온,KR,2026-08-08,2026-08-25,REQ-026,,v2,SKIPPED,
HRM-1052,EP-03,Task,다중 로봇 경로 조정 단위테스트/정리,Done,8,S06,A.Rao,IN,2026-03-12,2026-03-24,REQ-026,,v1,PASS,
HRM-1053,EP-03,Story,우선순위 임무 선점 구현,Done,3,S04,문세아,KR,2026-02-08,2026-02-24,REQ-027,,v1,PASS,
HRM-1054,EP-03,Task,우선순위 임무 선점 단위테스트/정리,Done,3,S02,오시윤,KR,2026-01-18,2026-01-27,REQ-027,,v1,PASS,
HRM-1055,EP-03,Story,피크타임 배차 최적화 구현,Done,3,S05,K.Brooks,US,2026-02-23,2026-03-13,REQ-028,,v1,PASS,
HRM-1056,EP-03,Task,피크타임 배차 최적화 단위테스트/정리,Done,3,S17,S.Iyer,IN,2026-08-14,2026-08-25,REQ-028,,v2,,
HRM-1057,EP-03,Story,임무 실패 자동 재배정 구현,Done,3,S16,R.Menon,IN,2026-07-26,2026-08-13,REQ-029,BEN-02,v2,,
HRM-1058,EP-03,Task,임무 실패 자동 재배정 단위테스트/정리,Done,5,S08,A.Rao,IN,2026-04-04,2026-04-21,REQ-029,BEN-02,v2,PASS,
HRM-1059,EP-03,Story,구역별 커버리지 계획 구현,Done,2,S16,노유진,KR,2026-07-29,2026-08-13,REQ-030,,v2,SKIPPED,
HRM-1060,EP-03,Task,구역별 커버리지 계획 단위테스트/정리,Done,5,S14,윤채원,KR,2026-06-29,2026-07-17,REQ-030,,v2,,
HRM-1061,EP-03,Story,배터리 기반 임무 배정 구현,Done,5,S16,S.Iyer,IN,2026-07-25,2026-08-12,REQ-031,,v2,PASS,
HRM-1062,EP-03,Task,배터리 기반 임무 배정 단위테스트/정리,Done,5,S09,배가온,KR,2026-04-21,2026-05-06,REQ-031,,v2,PASS,
HRM-1063,EP-03,Story,임무 소요시간 예측 구현,Done,3,S05,D.Suh,US,2026-03-01,2026-03-13,REQ-032,,v1,PASS,
HRM-1064,EP-03,Task,임무 소요시간 예측 단위테스트/정리,Done,5,S10,R.Menon,IN,2026-05-02,2026-05-22,REQ-032,,v2,,
HRM-1065,EP-03,Story,사업장별 운영 시간표 구현,Done,8,S13,D.Suh,US,2026-06-17,2026-07-02,REQ-033,,v2,SKIPPED,
HRM-1066,EP-03,Task,사업장별 운영 시간표 단위테스트/정리,Done,2,S17,M.Alvarez,US,2026-08-14,2026-08-26,REQ-033,,v2,,
HRM-1067,EP-03,Story,임무 이력 리포트 구현,Done,8,S08,S.Iyer,IN,2026-04-12,2026-04-24,REQ-034,,v2,PASS,
HRM-1068,EP-03,Task,임무 이력 리포트 단위테스트/정리,Done,5,S11,A.Rao,IN,2026-05-18,2026-06-03,REQ-034,,v2,,
HRM-1069,EP-03,Story,탄소·전력 절감 리포트 구현,Done,5,S01,K.Brooks,US,2025-12-27,2026-01-15,REQ-035,BEN-03,v1,PASS,
HRM-1070,EP-03,Task,탄소·전력 절감 리포트 단위테스트/정리,Done,3,S11,R.Menon,IN,2026-05-16,2026-06-03,REQ-035,BEN-03,v2,,
HRM-1071,EP-03,Story,운영 패턴 인사이트 구현,Done,5,S01,배가온,KR,2025-12-29,2026-01-13,REQ-036,BEN-03,v1,PASS,
HRM-1072,EP-03,Task,운영 패턴 인사이트 단위테스트/정리,Done,2,S12,윤채원,KR,2026-06-07,2026-06-18,REQ-036,BEN-03,v2,,
HRM-1073,EP-04,Story,관제 대시보드 초기 온보딩 구현,Done,3,S11,M.Alvarez,US,2026-05-18,2026-06-03,REQ-037,BEN-01,v2,SKIPPED,
HRM-1074,EP-04,Task,관제 대시보드 초기 온보딩 단위테스트/정리,Done,5,S03,정하람,KR,2026-01-27,2026-02-10,REQ-037,BEN-01,v1,PASS,
HRM-1075,EP-04,Story,로봇 실시간 지도 뷰 구현,Done,3,S15,윤채원,KR,2026-07-14,2026-07-31,REQ-038,,v2,SKIPPED,
HRM-1076,EP-04,Task,로봇 실시간 지도 뷰 단위테스트/정리,Done,2,S14,배가온,KR,2026-07-04,2026-07-14,REQ-038,,v2,,
HRM-1077,EP-04,Story,원격 조작(Teleop) 화면 구현,Done,2,S13,윤채원,KR,2026-06-13,2026-07-02,REQ-039,,v2,PASS,
HRM-1078,EP-04,Task,원격 조작(Teleop) 화면 단위테스트/정리,Done,8,S05,정하람,KR,2026-02-22,2026-03-12,REQ-039,,v1,PASS,
HRM-1079,EP-04,Story,임무 카드 UI 구현,Done,3,S10,M.Alvarez,US,2026-05-10,2026-05-22,REQ-040,,v2,,
HRM-1080,EP-04,Task,임무 카드 UI 단위테스트/정리,Done,3,S06,배가온,KR,2026-03-15,2026-03-24,REQ-040,,v1,PASS,
HRM-1081,EP-04,Story,권한·역할 관리 구현,Done,8,S10,S.Iyer,IN,2026-05-09,2026-05-20,REQ-041,,v2,,
HRM-1082,EP-04,Task,권한·역할 관리 단위테스트/정리,Done,8,S16,M.Alvarez,US,2026-07-30,2026-08-13,REQ-041,,v2,,
HRM-1083,EP-04,Story,다크모드 구현,Done,5,S12,R.Menon,IN,2026-06-07,2026-06-16,REQ-042,,v2,PASS,
HRM-1084,EP-04,Task,다크모드 단위테스트/정리,Done,8,S17,임태오,KR,2026-08-10,2026-08-28,REQ-042,,v2,PASS,
HRM-1085,EP-04,Story,접근성(스크린리더) 구현,Done,5,S16,임태오,KR,2026-07-31,2026-08-13,REQ-043,,v2,PASS,
HRM-1086,EP-04,Task,접근성(스크린리더) 단위테스트/정리,Done,5,S05,임태오,KR,2026-02-21,2026-03-10,REQ-043,,v1,PASS,
HRM-1087,EP-04,Story,알림 센터 구현,Done,3,S02,정하람,KR,2026-01-18,2026-01-30,REQ-044,,v1,PASS,
HRM-1088,EP-04,Task,알림 센터 단위테스트/정리,Done,3,S11,정하람,KR,2026-05-21,2026-06-03,REQ-044,,v2,SKIPPED,
HRM-1089,EP-04,Story,이상 상태 화면 구현,Done,8,S13,노유진,KR,2026-06-16,2026-06-30,REQ-045,,v2,,
HRM-1090,EP-04,Task,이상 상태 화면 단위테스트/정리,Done,3,S09,윤채원,KR,2026-04-22,2026-05-07,REQ-045,,v2,,
HRM-1091,EP-04,Story,튜토리얼 재진입 구현,Done,5,S07,K.Brooks,US,2026-03-21,2026-04-10,REQ-046,,v1,PASS,
HRM-1092,EP-04,Task,튜토리얼 재진입 단위테스트/정리,Done,5,S12,문세아,KR,2026-06-07,2026-06-17,REQ-046,,v2,PASS,
HRM-1093,EP-04,Story,운영 팁 알림 구현,Done,3,S03,정하람,KR,2026-01-27,2026-02-10,REQ-047,,v1,PASS,
HRM-1094,EP-04,Task,운영 팁 알림 단위테스트/정리,Done,8,S07,정하람,KR,2026-03-21,2026-04-08,REQ-047,,v1,PASS,
HRM-1095,EP-04,Story,임무 이력 조회 화면 구현,Done,3,S15,R.Menon,IN,2026-07-17,2026-07-31,REQ-048,BEN-01,v2,PASS,
HRM-1096,EP-04,Task,임무 이력 조회 화면 단위테스트/정리,Done,2,S14,정하람,KR,2026-07-01,2026-07-15,REQ-048,BEN-01,v2,PASS,
HRM-1097,EP-05,Story,이벤트 스키마 v2 적용 구현,Done,2,S11,M.Alvarez,US,2026-05-20,2026-06-05,REQ-049,,v2,,
HRM-1098,EP-05,Task,이벤트 스키마 v2 적용 단위테스트/정리,Done,2,S06,D.Suh,US,2026-03-13,2026-03-25,REQ-049,,v1,PASS,
HRM-1099,EP-05,Story,주행·임무 로그 수집 구현,Done,3,S06,오시윤,KR,2026-03-07,2026-03-24,REQ-050,,v1,PASS,
HRM-1100,EP-05,Task,주행·임무 로그 수집 단위테스트/정리,Done,5,S04,M.Alvarez,US,2026-02-07,2026-02-26,REQ-050,,v1,PASS,
HRM-1101,EP-05,Story,가동률 집계 파이프라인 구현,Done,8,S12,오시윤,KR,2026-06-02,2026-06-19,REQ-051,,v2,PASS,
HRM-1102,EP-05,Task,가동률 집계 파이프라인 단위테스트/정리,Done,5,S03,배가온,KR,2026-01-30,2026-02-13,REQ-051,,v1,PASS,
HRM-1103,EP-05,Story,파일럿 사업장 코호트 태깅 구현,Done,8,S14,노유진,KR,2026-06-27,2026-07-17,REQ-052,,v2,SKIPPED,
HRM-1104,EP-05,Task,파일럿 사업장 코호트 태깅 단위테스트/정리,Done,3,S17,M.Alvarez,US,2026-08-12,2026-08-26,REQ-052,,v2,,
HRM-1105,EP-05,Story,지표 대시보드 구현,Done,5,S08,M.Alvarez,US,2026-04-12,2026-04-22,REQ-053,,v2,SKIPPED,
HRM-1106,EP-05,Task,지표 대시보드 단위테스트/정리,Done,3,S02,R.Menon,IN,2026-01-13,2026-01-29,REQ-053,,v1,PASS,
HRM-1107,EP-05,Story,로그 보존정책 적용 구현,Done,2,S04,A.Rao,IN,2026-02-07,2026-02-25,REQ-054,,v1,PASS,
HRM-1108,EP-05,Task,로그 보존정책 적용 단위테스트/정리,Done,5,S14,배가온,KR,2026-06-29,2026-07-15,REQ-054,,v2,,
HRM-1109,EP-05,Story,A/B 실험 프레임 구현,Done,2,S01,정하람,KR,2025-12-31,2026-01-14,REQ-055,,v1,PASS,
HRM-1110,EP-05,Task,A/B 실험 프레임 단위테스트/정리,Done,3,S12,배가온,KR,2026-06-07,2026-06-17,REQ-055,,v2,SKIPPED,
HRM-1111,EP-05,Story,미학습 상황 클립 아카이브 구현,Done,3,S01,D.Suh,US,2025-12-31,2026-01-16,REQ-056,,v1,PASS,
HRM-1112,EP-05,Task,미학습 상황 클립 아카이브 단위테스트/정리,Done,3,S16,S.Iyer,IN,2026-07-31,2026-08-13,REQ-056,,v2,,
HRM-1113,EP-05,Story,데이터 품질 검증 잡 구현,Done,3,S08,K.Brooks,US,2026-04-11,2026-04-24,REQ-057,,v2,,
HRM-1114,EP-05,Task,데이터 품질 검증 잡 단위테스트/정리,Done,5,S13,S.Iyer,IN,2026-06-18,2026-07-01,REQ-057,,v2,,
HRM-1115,EP-05,Story,지표 정합성 리포트 구현,Done,5,S13,노유진,KR,2026-06-20,2026-06-30,REQ-058,,v2,PASS,
HRM-1116,EP-05,Task,지표 정합성 리포트 단위테스트/정리,Done,2,S01,A.Rao,IN,2026-01-01,2026-01-16,REQ-058,,v1,PASS,
HRM-1117,EP-05,Story,사업장 유지율 코호트 집계 구현,In Progress,3,S03,S.Iyer,IN,2026-01-26,,REQ-059,BEN-01,v1,,
HRM-1118,EP-05,Task,사업장 유지율 코호트 집계 단위테스트/정리,In Progress,8,S06,A.Rao,IN,2026-03-11,,REQ-059,BEN-01,v1,,
HRM-1119,EP-06,Story,비상정지 회로 연동 구현,Done,3,S17,K.Brooks,US,2026-08-16,2026-08-26,REQ-060,,v2,PASS,
HRM-1120,EP-06,Task,비상정지 회로 연동 단위테스트/정리,Done,5,S01,임태오,KR,2025-12-31,2026-01-13,REQ-060,,v1,PASS,
HRM-1121,EP-06,Story,주행 영상 국외이전 처리 구현,Blocked,8,S10,배가온,KR,2026-05-03,,REQ-061,,v2,,
HRM-1122,EP-06,Task,주행 영상 국외이전 처리 단위테스트/정리,Blocked,5,S12,M.Alvarez,US,2026-06-05,,REQ-061,,v2,,
HRM-1123,EP-06,Story,영상 내 인물 마스킹 구현,Done,5,S12,A.Rao,IN,2026-06-01,2026-06-18,REQ-062,,v2,,
HRM-1124,EP-06,Task,영상 내 인물 마스킹 단위테스트/정리,Done,3,S07,노유진,KR,2026-03-21,2026-04-09,REQ-062,,v1,PASS,
HRM-1125,EP-06,Story,감사 로그 구현,Done,8,S11,노유진,KR,2026-05-22,2026-06-04,REQ-063,,v2,PASS,
HRM-1126,EP-06,Task,감사 로그 단위테스트/정리,Done,2,S01,M.Alvarez,US,2025-12-29,2026-01-14,REQ-063,,v1,PASS,
HRM-1127,EP-06,Story,권한 최소화 적용 구현,Done,3,S09,M.Alvarez,US,2026-04-20,2026-05-06,REQ-064,,v2,PASS,
HRM-1128,EP-06,Task,권한 최소화 적용 단위테스트/정리,Done,3,S07,A.Rao,IN,2026-03-22,2026-04-10,REQ-064,,v1,PASS,
HRM-1129,EP-06,Story,AI 판단 고지 문구 구현,Done,2,S05,노유진,KR,2026-02-26,2026-03-12,REQ-065,,v1,PASS,
HRM-1130,EP-06,Task,AI 판단 고지 문구 단위테스트/정리,Done,2,S02,문세아,KR,2026-01-11,2026-01-27,REQ-065,,v1,PASS,
HRM-1131,EP-06,Story,취약점 스캔 대응 구현,Done,8,S10,R.Menon,IN,2026-05-07,2026-05-21,REQ-066,,v2,,
HRM-1132,EP-06,Task,취약점 스캔 대응 단위테스트/정리,Done,2,S01,문세아,KR,2026-01-04,2026-01-16,REQ-066,,v1,PASS,
HRM-1133,EP-06,Story,암호화 키 관리 구현,Done,8,S15,D.Suh,US,2026-07-19,2026-07-30,REQ-067,,v2,,
HRM-1134,EP-06,Task,암호화 키 관리 단위테스트/정리,Done,5,S01,배가온,KR,2025-12-27,2026-01-14,REQ-067,,v1,PASS,
HRM-1135,EP-06,Story,안전 인증 문서 산출(ISO 13482) 구현,Done,3,S12,오시윤,KR,2026-06-03,2026-06-17,REQ-068,,v2,,
HRM-1136,EP-06,Task,안전 인증 문서 산출(ISO 13482) 단위테스트/정리,Done,3,S17,S.Iyer,IN,2026-08-08,2026-08-28,REQ-068,,v2,,
HRM-1137,EP-06,Story,동의 철회 처리 구현,Done,8,S02,K.Brooks,US,2026-01-11,2026-01-30,REQ-069,,v1,PASS,
HRM-1138,EP-06,Task,동의 철회 처리 단위테스트/정리,Done,2,S11,정하람,KR,2026-05-21,2026-06-05,REQ-069,,v2,,
HRM-1139,EP-06,Story,데이터 주체 권리 대응(DSAR) 구현,Done,3,S12,문세아,KR,2026-06-01,2026-06-16,REQ-070,,v2,,
HRM-1140,EP-07,Story,모델 서빙 오토스케일 구현,Done,3,S15,문세아,KR,2026-07-17,2026-07-29,REQ-071,,v2,,
HRM-1141,EP-07,Story,주행 정책 버전 관리 구현,Done,5,S06,M.Alvarez,US,2026-03-15,2026-03-24,REQ-072,,v1,PASS,
HRM-1142,EP-07,Story,추론·시뮬레이션 비용 계측 구현,Done,5,S01,문세아,KR,2025-12-29,2026-01-16,REQ-073,,v1,PASS,
HRM-1143,EP-07,Story,모델 A/B 라우팅 구현,Done,8,S09,윤채원,KR,2026-04-26,2026-05-06,REQ-074,,v2,PASS,
HRM-1144,EP-07,Story,장애 폴백 경로 구현,Done,8,S14,임태오,KR,2026-06-29,2026-07-15,REQ-075,,v2,SKIPPED,
HRM-1145,EP-07,Story,CI 파이프라인 구현,Done,5,S09,D.Suh,US,2026-04-20,2026-05-08,REQ-076,BEN-05,v2,,
HRM-1146,EP-07,Story,회귀 시뮬레이션 자동화 구현,Done,2,S02,노유진,KR,2026-01-13,2026-01-30,REQ-077,BEN-05,v1,PASS,
HRM-1147,EP-07,Story,비용 알림 구현,Done,8,S15,노유진,KR,2026-07-17,2026-07-28,REQ-078,,v2,SKIPPED,
HRM-1148,EP-07,Story,관측성(Trace) 구현,Done,3,S15,노유진,KR,2026-07-14,2026-07-29,REQ-079,,v2,,
HRM-1149,EP-07,Story,엣지 추론 캐시 레이어 구현,In Progress,2,S08,노유진,KR,2026-04-11,,REQ-080,,v2,,
HRM-1150,EP-07,Story,모델 티어 라우팅(온디바이스/클라우드) 구현,In Progress,2,S15,노유진,KR,2026-07-16,,REQ-081,,v2,,
HRM-1151,EP-07,Story,OTA 단계적 배포 구현,Done,8,S11,배가온,KR,2026-05-22,2026-06-03,REQ-082,,v2,PASS,
HRM-1152,EP-07,Story,AI 인프라 예산 가드레일 구현,Done,5,S08,D.Suh,US,2026-04-11,2026-04-23,REQ-083,,v2,,
HRM-1153,EP-07,Story,시뮬레이션 씬 캐시 정책 구현,Done,3,S05,M.Alvarez,US,2026-02-26,2026-03-12,REQ-084,,v1,PASS,
HRM-2001,EP-04,Story,관제 대시보드 홈 요약 위젯,Done,13,S17,D.Suh,US,2026-08-15,2026-08-27,REQ-NEW-01,,v2,,CR-미등록 / 08/06 스티어링 구두 지시
HRM-2002,EP-01,Story,경쟁사 대응 데모 시나리오 12종,Done,8,S16,정하람,KR,2026-08-01,2026-08-13,REQ-NEW-02,,v2,,CR-미등록 / 마케팅 메신저 요청
HRM-2003,EP-02,Story,안내봇 음성 캐릭터 3종 추가,Done,5,S15,윤채원,KR,2026-07-18,2026-07-30,REQ-NEW-03,,v2,,CR-미등록 / 07/09 회의록만 존재
HRM-2004,EP-03,Story,임무 리포트 PDF 내보내기,Done,5,S10,R.Menon,IN,2026-05-09,2026-05-21,REQ-NEW-04,,v2,,CR-미등록 / PO 구두
HRM-2005,EP-04,Story,사업장 관리자 초대 링크,Done,8,S15,D.Suh,US,2026-07-18,2026-07-30,REQ-NEW-05,,v2,,CR-미등록 / 회의록만 존재
HRM-2006,EP-04,Story,임무 카드 애니메이션 고도화,Done,8,S16,K.Brooks,US,2026-08-01,2026-08-13,REQ-NEW-06,,v2,,CR-미등록
HRM-2007,EP-05,Story,주행 이력 검색,Done,8,S17,A.Rao,IN,2026-08-15,2026-08-27,REQ-NEW-07,,v2,,CR-미등록
HRM-2008,EP-02,Story,청소봇 습도 연동 제어,Done,5,S12,K.Brooks,US,2026-06-06,2026-06-18,REQ-NEW-08,,v2,,CR-미등록
HRM-2009,EP-02,Story,잔반처리봇 기종 추가,Done,5,S15,D.Suh,US,2026-07-18,2026-07-30,REQ-NEW-09,,v2,,CR-001 등록·승인(2026-05-11) / baseline 6종 → 7종 실질 확대, SC-08·03_requirements 미반영
HRM-2010,EP-02,Story,실외 배송봇 기종 추가,Done,8,S16,K.Brooks,US,2026-08-01,2026-08-13,REQ-NEW-10,,v2,,CR-001 등록·승인(2026-05-11) / baseline 6종 → 8종 실질 확대, SC-08·03_requirements 미반영
HRM-2011,EP-02,Story,안내봇 커스텀 웨이크워드,Done,5,S14,윤채원,KR,2026-07-04,2026-07-16,REQ-NEW-11,,v2,,CR-미등록
HRM-2012,EP-03,Story,임무 추천 사유 설명 생성,Done,5,S09,정하람,KR,2026-04-25,2026-05-07,REQ-NEW-12,,v2,,CR-미등록
HRM-2013,EP-03,Story,주간 가동률 랭킹,Done,8,S10,노유진,KR,2026-05-09,2026-05-21,REQ-NEW-13,,v2,,CR-미등록
HRM-2014,EP-04,Story,온보딩 스킵 방지 리마인더,Done,8,S12,정하람,KR,2026-06-06,2026-06-18,REQ-NEW-14,,v2,,CR-미등록
HRM-2015,EP-05,Story,대시보드 위젯 커스터마이즈,Done,5,S15,A.Rao,IN,2026-07-18,2026-07-30,REQ-NEW-15,,v2,,CR-미등록
HRM-2016,EP-05,Story,실시간 가동 스트림,Done,3,S10,R.Menon,IN,2026-05-09,2026-05-21,REQ-NEW-16,,v2,,CR-미등록
HRM-2017,EP-07,Story,주행 정책 A/B 실험 3안,Done,3,S10,노유진,KR,2026-05-09,2026-05-21,REQ-NEW-17,,v2,,CR-미등록
HRM-2018,EP-07,Story,도메인 적응 재학습 2차,Done,3,S17,오시윤,KR,2026-08-15,2026-08-27,REQ-NEW-18,,v2,,CR-미등록 / AI 인프라 비용 급증 원인
HRM-2019,EP-07,Story,시뮬레이션 씬 전체 재생성,Done,8,S16,S.Iyer,IN,2026-08-01,2026-08-13,REQ-NEW-19,,v2,,CR-미등록 / AI 인프라 비용 급증 원인
HRM-2020,EP-01,Story,원격 조작 재시도 버튼,Done,8,S09,임태오,KR,2026-04-25,2026-05-07,REQ-NEW-20,,v2,,CR-미등록 / AI 인프라 비용 급증 원인
HRM-2021,EP-07,Story,카메라 프레임 전량 클라우드 업로드,Done,5,S13,M.Alvarez,US,2026-06-20,2026-07-02,REQ-NEW-21,,v2,,CR-미등록 / AI 인프라 비용 급증 원인
