week,week_end,PV_dev,EV_dev,AC_dev,SPI_dev(보고값),CPI_dev(보고값),PV_ai,EV_ai,AC_ai,CPI_ai,PV_ext,EV_ext,AC_ext,PV_total,EV_total,AC_total,SPI_total,CPI_total,비고
24,2026-06-19,4989.0,5121.7,5242.9,1.027,0.977,1236.4,1236.4,1187.3,1.041,734.5,734.5,734.5,6959.9,7092.6,7164.7,1.019,0.99,개발 부문만 주간보고에 게시
25,2026-06-26,5207.5,5341.7,5465.8,1.026,0.977,1287.9,1287.9,1280.4,1.006,765.2,765.2,765.2,7260.6,7394.8,7511.4,1.018,0.984,개발 부문만 주간보고에 게시
26,2026-07-03,5426.4,5561.9,5688.9,1.025,0.978,1339.4,1339.4,1376.8,0.973,795.8,795.8,795.8,7561.6,7697.1,7861.5,1.018,0.979,개발 부문만 주간보고에 게시
27,2026-07-10,5645.8,5782.4,5912.1,1.024,0.978,1390.9,1390.9,1476.3,0.942,826.4,826.4,826.4,7863.1,7999.7,8214.8,1.017,0.974,개발 부문만 주간보고에 게시
28,2026-07-17,5865.6,6003.1,6135.6,1.023,0.978,1442.4,1442.4,1579.1,0.913,857.0,857.0,857.0,8165.0,8302.5,8571.7,1.017,0.969,개발 부문만 주간보고에 게시
29,2026-07-24,6085.7,6224.0,6359.2,1.023,0.979,1493.9,1493.9,1685.0,0.887,887.6,887.6,887.6,8467.2,8605.5,8931.8,1.016,0.963,개발 부문만 주간보고에 게시
30,2026-07-31,6306.2,6445.2,6582.9,1.022,0.979,1545.5,1545.5,1794.1,0.861,918.2,918.2,918.2,8769.9,8908.9,9295.2,1.016,0.958,개발 부문만 주간보고에 게시
31,2026-08-07,6527.1,6666.6,6806.8,1.021,0.979,1597.0,1597.0,1906.3,0.838,948.8,948.8,948.8,9072.9,9212.4,9661.9,1.015,0.953,개발 부문만 주간보고에 게시
32,2026-08-14,6748.4,6888.2,7030.8,1.021,0.98,1648.5,1648.5,2021.6,0.815,979.4,979.4,979.4,9376.3,9516.1,10031.8,1.015,0.949,개발 부문만 주간보고에 게시
33,2026-08-21,6970.0,7110.0,7255.0,1.02,0.98,1700.0,1700.0,2140.0,0.794,1010.0,1010.0,1010.0,9680.0,9820.0,10405.0,1.014,0.944,개발 부문만 주간보고에 게시
